name,Fecha,CantidadTotal
DelitosSexuales,18/10/2017,79
DelitosSexuales,19/10/2017,75
DelitosSexuales,20/10/2017,115
DelitosSexuales,21/10/2017,60
DelitosSexuales,22/10/2017,68
DelitosSexuales,23/10/2017,84
DelitosSexuales,24/10/2017,80
DelitosSexuales,25/10/2017,76
DelitosSexuales,26/10/2017,50
DelitosSexuales,27/10/2017,69
DelitosSexuales,28/10/2017,57
DelitosSexuales,29/10/2017,35
DelitosSexuales,30/10/2017,40
DelitosSexuales,31/10/2017,65
DelitosSexuales,01/11/2017,109
DelitosSexuales,02/11/2017,91
DelitosSexuales,03/11/2017,76
DelitosSexuales,04/11/2017,63
DelitosSexuales,05/11/2017,82
